,Unnamed: 0_x,video_id,views_x,subscriberCount,category_id_1,category_id_2,category_id_10,category_id_15,category_id_17,category_id_19,category_id_20,category_id_22,category_id_23,category_id_24,category_id_25,category_id_26,category_id_27,category_id_28,category_id_29,Unnamed: 0_y,Unnamed: 0.1,trending_date,title,channel_title,category_id,tags,views_y,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,publish_date,days_to_trending,dislike_percentage,like_percentage,sentence_importance
0,0,5ugKfHgsmYw,188085,40817.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17868,19163,2018-02-07,陸自ヘリ、垂直に落下＝路上の車が撮影,時事通信映像センター,25,"事故|""佐賀""|""佐賀県""|""ヘリコプター""|""ヘリ""|""自衛隊""|""墜落""|""落下""|""現場""|""神埼市""|""ドライブレコーダー""",188085,591,189,0.0,https://i.ytimg.com/vi/5ugKfHgsmYw/default.jpg,True,False,False,2018-02-06,1.0,0.2423076923076923,0.7576923076923077,2.9127055186822837
8,2,aBr2kKAHN6M,6408303,2513320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19095,20483,2018-02-07,Live Views of Starman,SpaceX,28,[none],6408303,165892,2331,3006.0,https://i.ytimg.com/vi/aBr2kKAHN6M/default.jpg,False,False,False,2018-02-06,1.0,0.01385660700379853,0.9861433929962016,1.940602442260066
12,4,B7J47qFvdsk,108408,1451446.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,768,2018-02-07,榮倉奈々、衝撃の死んだふり！映画『家に帰ると妻が必ず死んだふりをしています。』特報,シネマトゥデイ,1,[none],108408,1336,74,201.0,https://i.ytimg.com/vi/B7J47qFvdsk/default.jpg,False,False,False,2018-02-06,1.0,0.0524822695035461,0.947517730496454,4.093513439089365
16,9,FVPmVIfl3-o,105112,667198.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5623,6021,2018-02-07,究極の激ウマ丼の作り方。,はいじぃ迷作劇場,19,"卵|""玉子""|""TKG""|""醤油""|""たまごかけご飯""|""卵かけご飯""|""Recipe (Literature Subject)""|""Cuisine""|""Food""|""Cooking""|""Kitchen""|""Cook""|""Recipes""|""Cook (Profession)""|""目玉焼き""|""目玉焼き乗せ""|""アレンジ""|""レシピ""|""Eating""|""Healthy""|""Foods""|""Taste""|""はいじぃ""|""japan""|""よしもと""|""冷凍卵""",105112,1547,540,499.0,https://i.ytimg.com/vi/FVPmVIfl3-o/default.jpg,False,False,False,2018-02-06,1.0,0.2587446094873023,0.7412553905126977,2.404994245674186
20,10,CcWHJuzPUKY,76621,11863.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3485,3707,2018-02-07,シャンシャン238日齢（2）2018年2月5日撮影,Tokyo ZooNet,15,[none],76621,545,16,0.0,https://i.ytimg.com/vi/CcWHJuzPUKY/default.jpg,True,False,False,2018-02-06,1.0,0.0285204991087344,0.9714795008912656,2.9976505700527105
24,13,TC-ipmLi9PA,120824,836038.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18634,19976,2018-02-07,【バレンタイン】材料たったの2つで絶品ガトーショコラを作る!【赤髪のとも】,赤髪のともの実写チャンネル!!,26,"赤髪のとも|""お菓子""|""あかがみのとも""|""赤髪""|""とも""|""バレンタイン""|""手作り""|""簡単""|""超簡単""|""ガトーショコラ""|""卵""|""板チョコ""|""チョコ""|""チョコレート""",120824,5699,89,699.0,https://i.ytimg.com/vi/TC-ipmLi9PA/default.jpg,False,False,False,2018-02-06,1.0,0.015376641326883206,0.9846233586731168,3.5624990960447507
28,15,cXopRwPxg2M,23572,277117.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12255,13178,2018-02-07,【ゆっくり茶番】恵方巻の復讐,てきとう太郎,24,"てきとう太郎|""ゆっくり""|""実況""|""茶番""|""アニメ""|""anime""|""恵方巻""|""節分""|""お寿司""|""sushi""",23572,602,40,655.0,https://i.ytimg.com/vi/cXopRwPxg2M/default.jpg,False,False,False,2018-02-06,1.0,0.06230529595015576,0.9376947040498442,2.313088821053044
32,16,bFrhcY9exgo,34020,189.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8317,8949,2018-02-07,福井県の大雪！ 8号線なう。2018年2月6日,usshiusshiusshi,22,#大雪 #立ち往生 #福井 #関西車好きグルチャ,34020,72,19,73.0,https://i.ytimg.com/vi/bFrhcY9exgo/default.jpg,False,False,False,2018-02-06,1.0,0.2087912087912088,0.7912087912087912,3.3085308262615536
36,18,ylojY8-BfWU,51006,395269.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18478,19818,2018-02-07,業務用スーパーのおすすめ品でアレンジご飯【kattyanneru】,kattyanneru/かっちゃんねる,26,[none],51006,1044,87,156.0,https://i.ytimg.com/vi/ylojY8-BfWU/default.jpg,False,False,False,2018-02-06,1.0,0.07692307692307693,0.9230769230769232,3.01765195842762
40,23,0aH2JyPKkcQ,12637,18131.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1243,1356,2018-02-07,2018年 全日本ラリー選手権 第１戦 嬬恋・群馬,JRCAVideo,2,"ラリー|""Rally""|""全日本ラリー""|""全日本ラリー選手権""|""JRC""|""Japanese Rally Championship""|""JRCA""|""嬬恋""|""群馬""",12637,288,3,21.0,https://i.ytimg.com/vi/0aH2JyPKkcQ/default.jpg,False,False,False,2018-02-06,1.0,0.010309278350515464,0.9896907216494846,2.9662298250927406
44,25,pVxOVlm_lE8,12908071,13268178.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16781,18022,2018-02-07,Marvel Studios’ Avengers: Infinity War - Big Game Spot,Marvel Entertainment,24,"marvel|""comics""|""comic books""|""nerdy""|""geeky""|""super hero""|""superhero""|""marvel studios""|""infinity war""|""super bowl""|""avengers: infinity war""|""chris evans""|""chadwick boseman""|""black panther""|""black widow""|""scarlett johansson""|""groot""|""thanos""|""winter solider""|""bucky barnes""|""guardians of the galaxy""|""thor""|""mcu""|""spider-man""|""spider man""|""benedict cumberbatch""|""dr. strange""|""doctor strange""|""peter parker""|""tom holland""|""tony stark""|""iron man""|""robert downey junior""|""robert downey jr""|""hulk""|""the incredible hulk""",12908071,290084,5326,26863.0,https://i.ytimg.com/vi/pVxOVlm_lE8/default.jpg,False,False,False,2018-02-05,2.0,0.018029179784028977,0.9819708202159708,2.8166997941421736
48,27,6sexVZpv5RI,9854,20917.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2761,2945,2018-02-07,【アクアリウム】サテライト全部買ってみた,こうちゃがーでん,15,"アクアリウム|""サテライトS""|""サテライトM""|""サテライトL""",9854,227,22,94.0,https://i.ytimg.com/vi/6sexVZpv5RI/default.jpg,False,False,False,2018-02-06,1.0,0.08835341365461848,0.9116465863453816,2.4415004165484797
52,28,vmd4px8348Y,23903,32760.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12268,13191,2018-02-07,DVD『モーニング娘。’17 クリスマスFCイベント ～プレモニ。2～』,UFfanclub,24,[none],23903,405,16,50.0,https://i.ytimg.com/vi/vmd4px8348Y/default.jpg,False,False,False,2018-02-06,1.0,0.03800475059382423,0.9619952494061758,2.9226561366512827
